filename,my_socre,unet_score,unetplus_score,ege_score
ISIC_0014031,0.9665809768637532,0.9181258873639375,0.9603612644254892,0.9214659685863874
ISIC_0014032,0.9083683964469378,0.8976412995104583,0.9070564055720484,0.7132222616093584
ISIC_0014037,0.9076791206574901,0.8937101281172563,0.9252136752136751,0.7694622361690238
ISIC_0014038,0.786371237458194,0.806086777709233,0.8118285071114295,0.7590039542588436
ISIC_0014044,0.9057799688113084,0.9178224174522482,0.8927195295071993,0.9038038038038038
ISIC_0014045,0.33362356697141193,0.22613139403469118,0.3696545059193042,0.2491276303267421
ISIC_0014046,0.8673139158576051,0.8627450980392157,0.8444173276388041,0.7785087719298247
ISIC_0014049,0.956386292834891,0.9650285714285715,0.9551639527102387,0.9366585742661665
ISIC_0014055,0.9019292604501608,0.8707381234848094,0.8699808795411088,0.8296355841371919
ISIC_0014061,0.9528112449799196,0.9463366007642466,0.956828489837057,0.7382863059798085
ISIC_0014062,0.8593908058896257,0.9558708524187242,0.8354179566563468,0.941747572815534
ISIC_0014066,0.9507892293407614,0.9517946335230574,0.9680094786729857,0.9273834621691263
ISIC_0014069,0.8245741738244285,0.7781665500349895,0.8098510882016037,0.6818826868495742
ISIC_0014072,0.42210182389676987,0.5888184054298977,0.6412863476913763,0.6586034737360242
ISIC_0014073,0.9004283407064111,0.8920583238958097,0.8822544444048595,0.9080586447583743
ISIC_0014074,0.766597510373444,0.8388683886838868,0.43394010569583086,0.05667177914110429
ISIC_0014076,0.9341388092572315,0.9296820437419593,0.9299135617011846,0.9468587623996222
ISIC_0014079,0.7385979495705182,0.7671232876712328,0.7490586185578598,0.8834600339508452
ISIC_0014080,0.7930174563591024,0.6730478589420655,0.6063907044299202,0.5529801324503311
ISIC_0014081,0.9372301560943208,0.9488465396188566,0.9544217687074829,0.9081665077851921
ISIC_0014082,0.8037583554042124,0.7843299231111394,0.6970040931448422,0.6731813246471227
ISIC_0014083,0.8364289994008388,0.8188594856503913,0.8926662390421211,0.9025007593398805
ISIC_0014088,0.9594254937163375,0.9620161363430333,0.9639189312005817,0.9545372866127584
ISIC_0014089,0.9231905465288035,0.8193760262725781,0.8933231005372217,0.14478080388782016
ISIC_0014092,0.9496456546064902,0.9226340410219502,0.9245136186770428,0.8935714285714286
ISIC_0014093,0.9572093023255814,0.9345839345839346,0.9509734928454141,0.9668419849073863
ISIC_0014094,0.8727272727272727,0.8167938931297709,0.8574938574938574,0.8672350791717418
ISIC_0014099,0.8734593262119966,0.8965582272512966,0.8628419964957994,0.861484780313117
ISIC_0014108,0.8765350745821602,0.861749700825093,0.8713397253174398,0.8632197414806111
ISIC_0014114,0.9168847352024921,0.898880305529034,0.9160182236019836,0.8697462681300068
ISIC_0014120,0.8910828025477707,0.9054814814814814,0.9138305575669804,0.8653167864141085
ISIC_0014127,0.9668449197860962,0.9807302231237321,0.9713046379713046,0.9679762297788048
ISIC_0014131,0.8377316114542391,0.8550884955752213,0.8640350877192982,0.9047120418848167
ISIC_0014132,0.9196777428166385,0.9511446429231851,0.9609878701781226,0.8845081640780565
ISIC_0014133,0.9653475743302032,0.9623637320502219,0.9628663704871799,0.9765933701324163
ISIC_0014136,0.8918982571832313,0.8918187168922896,0.9212062256809338,0.9357524543308064
ISIC_0014139,0.9654055304870994,0.9673172421757708,0.9549463647199047,0.9280036862112659
ISIC_0014144,0.9601092896174863,0.957345971563981,0.9524560021013921,0.9434759640781828
ISIC_0014149,0.668974042027194,0.6683156072223596,0.5585006693440429,0.6338492768332911
ISIC_0014150,0.980259990370727,0.9696733300828865,0.9750820938767626,0.9543775397118582
ISIC_0014151,0.9322084707293049,0.902555550547618,0.9445680143050286,0.9281834902088067
ISIC_0014156,0.9731104651162791,0.9764202810018326,0.9702615549982085,0.8626790227464196
ISIC_0014157,0.8787857689897655,0.8413007039892725,0.8564783144068957,0.8366319074980492
ISIC_0014158,0.9493192133131618,0.9737034331628925,0.9694290976058932,0.9473309608540926
ISIC_0014162,0.8024928092042186,0.8655635987590486,0.8163862472567667,0.9029072956664839
ISIC_0014163,0.9674216568414521,0.9564231854558911,0.9514691740570574,0.9382163473604953
ISIC_0014164,0.9725418938017364,0.9675939774653505,0.9745754195558235,0.9714172290591504
ISIC_0014166,0.8427042000449202,0.8952775344429401,0.8219529579472559,0.8762065267351002
ISIC_0014169,0.8988020176544766,0.8975641232456848,0.9093922651933702,0.9008082292432036
ISIC_0014171,0.8199666680216251,0.880519580338957,0.7963845930594138,0.45511148954286634
ISIC_0014173,0.9202453987730062,0.8543474247738602,0.885589705413166,0.9300300097023849
